bank_id,display_name,bank_type,year,total_assets_tk_mn,loans_tk_mn,deposits_tk_mn,equity_tk_mn,nii_tk_mn,non_interest_income_tk_mn,npat_tk_mn,npl_amount_tk_mn,eps_bdt,roa_pct,roe_pct,npl_pct,provision_coverage_pct,loan_deposit_pct,car_pct,cost_income_pct
rupali_bank_plc,Rupali Bank PLC,SOCB,1995,,14525.9,27335.8,,,,,,,,,,,53.13874114,,
rupali_bank_plc,Rupali Bank PLC,SOCB,1996,,17326.5,32466.9,,,,,,,,,,,53.36665958,,
rupali_bank_plc,Rupali Bank PLC,SOCB,1997,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,1998,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,1999,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2000,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2001,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2002,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2003,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2004,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2005,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2006,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2007,,,,,,,,,,,,,,,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2008,,49030.0,70280.0,,,,,,,,,,,69.76380194000001,,
rupali_bank_plc,Rupali Bank PLC,SOCB,2009,87791.4,52344.2,73803.4,-5581.8,1739.8,2263.7,1668.5,,,1.900527842,-29.89179118,,,70.92383278,-8.67929078,71.02163677
rupali_bank_plc,Rupali Bank PLC,SOCB,2010,124434.5,66049.0,91123.8,14151.5,2088.8,2701.0,600.3,,,0.4824224793,4.2419531500000005,,,72.48271033,9.472745928,70.35475429
rupali_bank_plc,Rupali Bank PLC,SOCB,2011,143023.3,76524.9,107234.0,13437.8,4218.4,3079.9,1091.3,,,0.7630225285000001,8.121121017,,,71.36253427,11.13337199,71.08375728
rupali_bank_plc,Rupali Bank PLC,SOCB,2012,172993.1,90641.6,136598.8,11655.7,3022.3,3707.1,1205.7,22627.89,6.64,0.6969642142,10.34429507,24.96413347,28.139830980000003,66.35607341000001,10.11,76.17
rupali_bank_plc,Rupali Bank PLC,SOCB,2013,216185.8,107426.3,177955.8,11819.7,933.9,4512.0,403.8,17992.51,2.22,0.1867837758,3.4163303640000002,16.7487012,38.34495576,60.3668439,10.16,88.17
rupali_bank_plc,Rupali Bank PLC,SOCB,2014,268078.4,125012.0,221656.8,14774.5,-1216.2,7527.6,420.5,15194.23,2.01,0.15685709850000001,2.846120004,12.1542172,57.78239503,56.398901359999996,10.43,89.43367782
rupali_bank_plc,Rupali Bank PLC,SOCB,2015,300549.8,142515.0,253829.6,12706.5,-1733.0,8981.1,235.0,23417.63,0.85,0.07819003706,1.8494471330000002,16.43169491,40.79247131,56.14593411999999,8.49,89.71000000000001
rupali_bank_plc,Rupali Bank PLC,SOCB,2016,334108.5,175150.4,279116.0,11656.4,-1754.3,8092.7,-1258.6,34848.5,-4.56,-0.37670397489999996,-10.797501800000001,19.8963291,28.73136577,62.75183077999999,6.69,104.10999999999999
rupali_bank_plc,Rupali Bank PLC,SOCB,2017,382410.2,206672.7,319487.6,13271.7,3512.4,8680.5,499.1,45820.57,1.64,0.1305143011,3.760633528,22.170596309999997,28.37670941,64.68880168999999,6.529999999999999,80.04
rupali_bank_plc,Rupali Bank PLC,SOCB,2018,463289.8,247490.6,389549.5,17076.9,2527.4,8729.6,379.2,44288.55,1.01,0.08184941693,2.2205435409999996,17.89504329,32.92871408,63.53251640999999,10.02,88.35
rupali_bank_plc,Rupali Bank PLC,SOCB,2019,497249.3,306724.0,414624.3,16876.0,18.8,11287.6,546.4,,,0.10988451870000002,3.2377340599999997,,,73.97636849,10.33595459,93.56169405
rupali_bank_plc,Rupali Bank PLC,SOCB,2020,630547.7,336835.2,532299.9,18050.8,-3510.9,14385.8,160.3,39724.26,,0.02542234315,0.8880492831,11.79338145,,63.27921533999999,8.004979033,95.28579864
rupali_bank_plc,Rupali Bank PLC,SOCB,2021,665248.0,380833.7,576430.6,16901.5,-3343.3,16588.4,358.0,66664.9,0.77,0.053814517289999995,2.118155193,17.50498971,25.031043320000002,66.06757171,5.56,96.99
rupali_bank_plc,Rupali Bank PLC,SOCB,2022,686727.2,435400.8,588675.8,16346.7,-3065.2,17986.4,209.3,92247.65,0.45,0.03047789574,1.28038075,21.186835209999998,18.25003672,73.96274826,4.92,97.47
rupali_bank_plc,Rupali Bank PLC,SOCB,2023,793302.1,477601.16,667317.88,16632.3,-2842.39,19129.68,543.53,100437.7,1.17,0.06851488229,3.2679184479999996,21.0296181,19.847875849999998,71.57026274,5.28,88.66000000000001
rupali_bank_plc,Rupali Bank PLC,SOCB,2024,806600.47,513422.22,685898.29,16517.34,-6660.11,21312.55,82.93,213578.1,0.17,0.01028142223,0.5020784218000001,41.59892028,8.485322231,74.85398746,2.9499999999999997,94.25
rupali_bank_plc,Rupali Bank PLC,SOCB,2025,846286.18,512527.09,720622.13,16633.77,-15754.34,27988.14,49.85,200150.31,0.1,0.005890442403,0.29969153109999996,39.05165481,9.053640736,71.12286296,2.93,98.2
rupali_bank_plc,Rupali Bank PLC,SOCB,2026,,,,,,,,,,,,,,,,
sonali_bank,Sonali Bank,SOCB,1972,23967.9,853.7,1679.4,20.0,,,2.4,,,0.01001339291,12.0,,,50.833631059999995,,
sonali_bank,Sonali Bank,SOCB,1973,,1289.8,2102.6,30.9,,,20.8,,,,67.31391586,,,61.343099020000004,,
