bank_id,stat_name,value,source_row
pubali_bank_plc,Std Dev ROE % (2015-2025),0.05209813496,6
pubali_bank_plc,"Sharpe-like ratio (rf=3%, full period)",1.3691469,7
pubali_bank_plc,Rolling mean ROE % (2019-2024 window),0.11525,8
pubali_bank_plc,Rolling std dev ROE % (2019-2024),0.03082977457,9
pubali_bank_plc,Rolling Sharpe-like ratio (2019-2024),2.765184021,10
pubali_bank_plc,Equity CAGR % (2015-2025),0.1197938344,11
pubali_bank_plc,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-121.1,12
pubali_bank_plc,"Newey-West (HAC) trend regression: NPL% vs year, slope",-0.4655757576,13
southeast_bank_plc,Mean ROE % (2015-2025),0.07301818182,4
southeast_bank_plc,Std Dev ROE % (2015-2025),0.02913131711,5
southeast_bank_plc,"Sharpe-like ratio (rf=3%, full period)",1.476698828,6
southeast_bank_plc,Rolling mean ROE % (2019-2024 window),0.05935,7
southeast_bank_plc,Rolling std dev ROE % (2019-2024),0.02451560727,8
southeast_bank_plc,Rolling Sharpe-like ratio (2019-2024),1.197196532,9
southeast_bank_plc,Equity CAGR % (2015-2025),0.02379280897,10
southeast_bank_plc,"Max drawdown in NPAT %, 2015-2025 (peak-to-trough)",-85.9,11
southeast_bank_plc,"Newey-West (HAC) trend regression: NPL% vs year, slope",0.6207272727,12
